date,temp_avg,precipitation,is_workday,average_traffic_index
2023-07-26,30.8,0.0,1.0,30.294545454545453
2023-07-27,25.6,0.6,1.0,34.29616724738676
2023-07-28,22.5,0.0,1.0,31.03125
2023-07-29,23.0,0.0,0.0,25.57913669064748
2023-07-30,23.6,0.0,0.0,18.261324041811847
2023-07-31,24.0,0.0,1.0,27.366300366300365
2023-08-01,24.9,0.6,1.0,30.558718861209965
2023-08-02,25.7,0.0,1.0,30.557491289198605
2023-08-03,29.2,0.0,1.0,30.678321678321677
2023-08-04,29.5,0.0,1.0,30.986062717770036
2023-08-05,27.3,0.0,0.0,24.027972027972027
2023-08-06,28.4,0.0,0.0,23.364102564102563
2023-08-07,27.5,0.0,1.0,33.797356828193834
2023-08-08,25.1,0.0,1.0,29.270462633451956
2023-08-09,23.6,0.0,1.0,30.034965034965033
2023-08-10,24.4,1.6,1.0,30.822916666666668
2023-08-11,23.3,1.5,1.0,31.506993006993007
2023-08-12,24.5,0.0,0.0,24.649122807017545
2023-08-13,25.2,0.3,0.0,17.83275261324042
2023-08-14,26.0,0.4,1.0,28.737762237762237
2023-08-15,26.6,0.1,1.0,29.207142857142856
2023-08-16,25.9,0.0,1.0,30.174545454545456
2023-08-17,26.2,0.0,1.0,29.797909407665504
2023-08-18,26.4,0.0,1.0,30.496503496503497
2023-08-19,25.9,0.0,0.0,26.765734265734267
2023-08-20,26.0,0.0,0.0,21.81923076923077
2023-08-21,26.5,0.0,1.0,29.625441696113075
2023-08-22,26.9,0.0,1.0,31.23611111111111
2023-08-23,26.4,0.0,1.0,31.674825174825173
2023-08-24,26.3,0.0,1.0,28.735042735042736
2023-08-25,26.1,0.0,1.0,32.204861111111114
2023-08-26,26.4,0.0,0.0,26.93402777777778
2023-08-27,25.6,0.0,0.0,19.67595818815331
2023-08-28,25.5,0.0,1.0,28.881944444444443
2023-08-29,25.9,0.0,1.0,34.052083333333336
2023-08-30,26.5,0.0,0.0,20.34375
2023-08-31,27.5,0.0,1.0,30.34494773519164
2023-09-01,24.7,6.4,1.0,30.791666666666668
2023-09-02,25.3,0.4,0.0,28.052083333333332
2023-09-03,25.0,0.7,0.0,22.368055555555557
2023-09-04,24.4,0.8,1.0,30.773519163763066
2023-09-05,23.5,0.8,1.0,34.43055555555556
2023-09-06,24.4,0.1,1.0,33.541666666666664
2023-09-07,24.9,0.0,1.0,35.84965034965035
2023-09-08,24.0,0.1,1.0,42.70666666666666
2023-09-09,23.2,0.0,0.0,32.19163763066202
2023-09-10,23.1,0.0,0.0,21.122222222222224
2023-09-11,22.0,0.0,1.0,28.412587412587413
2023-09-12,21.8,0.0,1.0,32.462406015037594
2023-09-13,21.3,0.0,1.0,31.395104895104897
2023-09-14,22.0,0.0,1.0,39.36486486486486
2023-09-15,21.6,0.0,1.0,31.6113074204947
2023-09-16,22.2,0.0,0.0,30.65277777777778
2023-09-17,22.9,0.0,0.0,22.60278745644599
2023-09-18,21.9,0.0,1.0,30.21254355400697
2023-09-19,22.0,0.0,1.0,31.202090592334496
2023-09-20,20.5,0.0,1.0,31.680701754385964
2023-09-21,20.4,0.0,1.0,32.44444444444444
2023-09-22,21.7,0.0,1.0,31.820422535211268
2023-09-23,24.9,0.0,0.0,45.0573476702509
2023-09-24,23.5,0.0,0.0,22.974358974358974
2023-09-25,23.1,0.0,1.0,31.052083333333332
2023-09-26,23.1,0.0,1.0,41.03930131004367
2023-09-27,22.8,0.2,1.0,33.18815331010453
2023-09-28,21.1,13.8,1.0,36.63194444444444
2023-09-29,20.3,0.9,1.0,35.066202090592334
2023-09-30,19.5,19.7,0.0,34.54929577464789
2023-10-01,18.4,21.6,0.0,30.0
2023-10-02,19.2,3.9,1.0,34.656140350877195
2023-10-03,18.9,0.0,1.0,33.242105263157896
2023-10-04,17.8,0.0,1.0,33.72222222222222
2023-10-05,18.0,0.0,1.0,33.073170731707314
2023-10-06,19.0,0.0,1.0,44.11594202898551
2023-10-07,19.2,0.0,0.0,31.430604982206404
2023-10-08,18.1,0.0,0.0,24.32638888888889
2023-10-09,17.0,0.5,1.0,30.37847222222222
2023-10-10,15.8,0.0,1.0,33.68402777777778
2023-10-11,16.2,0.1,1.0,33.236363636363635
2023-10-12,17.7,0.0,1.0,34.38610038610039
2023-10-13,16.0,0.0,1.0,34.89930555555556
2023-10-14,17.5,0.0,0.0,27.770925110132158
2023-10-15,16.8,0.1,0.0,23.508896797153024
2023-10-16,16.2,4.1,1.0,36.0985401459854
2023-10-17,15.7,0.0,1.0,33.325
2023-10-18,14.9,12.4,1.0,36.62633451957296
2023-10-19,15.6,0.3,1.0,33.34146341463415
2023-10-20,18.5,0.0,1.0,33.76491228070176
2023-10-21,20.5,0.0,0.0,30.604166666666668
2023-10-22,19.5,0.0,0.0,24.13240418118467
2023-10-23,19.6,0.0,1.0,30.596491228070175
2023-10-24,18.8,0.0,1.0,36.62152777777778
2023-10-25,19.2,0.0,1.0,33.52797202797203
2023-10-26,22.2,0.0,1.0,36.01052631578948
2023-10-27,21.7,0.0,1.0,34.1013986013986
2023-10-28,22.2,0.0,0.0,27.90625
2023-10-29,19.9,0.4,0.0,20.801393728222997
2023-10-30,19.7,0.0,1.0,29.853658536585368
2023-10-31,18.4,0.1,1.0,31.310104529616726
2023-11-01,19.6,0.0,1.0,32.6794425087108
2023-11-02,17.2,17.0,1.0,37.02482269503546
2023-11-03,19.9,0.7,1.0,34.82867132867133
2023-11-04,23.2,1.2,0.0,31.73263888888889
2023-11-05,19.8,8.7,0.0,25.270833333333332
2023-11-06,20.4,0.4,1.0,31.348591549295776
2023-11-07,18.8,0.2,1.0,34.32871972318339
2023-11-08,18.2,0.0,1.0,34.27598566308244
2023-11-09,14.6,10.7,1.0,39.690140845070424
2023-11-10,14.3,0.0,1.0,36.739583333333336
2023-11-11,18.5,12.9,0.0,36.958333333333336
2023-11-12,16.4,0.4,0.0,24.756944444444443
2023-11-13,14.6,27.6,1.0,41.13028169014085
2023-11-14,12.4,0.0,1.0,38.62867647058823
2023-11-15,16.7,0.4,1.0,38.84642857142857
2023-11-16,13.2,33.2,1.0,40.732394366197184
2023-11-17,12.7,0.0,1.0,35.643884892086334
2023-11-18,11.7,57.6,0.0,37.295138888888886
2023-11-19,5.7,26.2,0.0,22.55902777777778
2023-11-20,9.5,3.7,1.0,30.63859649122807
2023-11-21,12.9,0.1,1.0,35.833333333333336
2023-11-22,15.6,0.0,1.0,38.5625
2023-11-23,12.8,4.4,1.0,37.846689895470384
2023-11-24,14.0,2.9,1.0,36.066202090592334
2023-11-25,16.7,0.2,0.0,33.19163763066202
2023-11-26,9.0,7.5,0.0,18.37979094076655
2023-11-27,4.4,0.0,1.0,30.23611111111111
2023-11-28,10.5,1.6,1.0,38.849122807017544
2023-11-29,14.5,30.6,1.0,46.99596774193548
2023-11-30,11.3,14.4,1.0,40.224264705882355
2023-12-01,15.7,0.0,1.0,38.425196850393704
2023-12-02,17.7,0.0,0.0,32.34027777777778
2023-12-03,18.3,0.0,0.0,22.72222222222222
2023-12-04,10.5,3.5,1.0,41.802083333333336
2023-12-05,10.5,0.0,1.0,37.94964028776978
2023-12-06,10.7,2.0,1.0,40.21484375
2023-12-07,10.5,4.3,1.0,44.56115107913669
2023-12-08,8.2,5.6,1.0,46.680297397769515
2023-12-09,6.8,13.0,0.0,39.14685314685315
2023-12-10,6.8,0.4,0.0,21.18815331010453
2023-12-11,8.0,0.0,1.0,30.78472222222222
2023-12-12,8.8,0.0,1.0,32.96180555555556
2023-12-13,9.6,0.0,1.0,35.11805555555556
2023-12-14,14.8,0.0,1.0,35.806338028169016
2023-12-15,11.9,7.1,1.0,37.74021352313167
2023-12-16,8.3,23.3,0.0,39.07017543859649
2023-12-17,6.7,3.3,0.0,21.43859649122807
2023-12-18,5.9,0.0,1.0,32.37282229965157
2023-12-19,7.4,0.0,1.0,34.822916666666664
2023-12-20,7.0,0.0,1.0,37.1875
2023-12-21,10.1,2.3,1.0,40.62105263157895
2023-12-22,9.9,9.3,1.0,40.329861111111114
2023-12-23,9.7,1.4,0.0,29.95438596491228
2023-12-24,11.8,0.8,0.0,19.15972222222222
2023-12-25,13.3,0.0,1.0,30.883895131086142
2023-12-26,13.4,0.0,1.0,36.423611111111114
2023-12-27,13.0,0.2,1.0,37.520833333333336
2023-12-28,9.2,0.0,1.0,38.719298245614034
2023-12-29,8.0,0.0,1.0,36.895833333333336
2023-12-30,9.4,0.0,0.0,27.07638888888889
2023-12-31,10.7,0.3,0.0,10.86832740213523
